"Nome","Endereço","Endereço.2"
"Piselli Sud","Shopping Iguatemi - Av. Brg. Faria Lima, 2232, 01489-900 Jardim Paulistano, São Paulo - SP, (11) 3031-5404www.piselli.com.br/piselli-sud","Em 31 de julho de 2004, em seu aniversário de 35 anos, Juscelino Pereira inaugurou o Restaurante Piselli. O nome, que significa “ervilha”, em italiano, não foi escolhido de forma aleatória. Quando adolescente, ele decidiu plantá-la em Joanópolis, cidade em que nasceu, na região da Serra da Mantiqueira. Escolheu a leguminosa, já que não existia na região. Seria o início de sua vida como agricultor.  Mas a plantação não deu certo, pois as sementes eram de ervilha torta e não aquela em grãos e deveriam ter sido colhidas antes. Com a decepção da perda, Juscelino mudou-se para São Paulo e trabalhou em diversos restaurantes, em diversas funções, até montar o Piselli. A escolha do nome é uma homenagem à leguminosa que transformou sua vida. Depois de 11 anos de história em São Paulo, recebemos o convite do Sr. Carlos Jereissati para abrirmos nosso segundo restaurante na capital: o Piselli Sud, no Shopping Iguatemi São Paulo. Sud, quer dizer Sul em Italiano. A culinária do Piselli Sud traz receitas clássicas italianas e outras inspiradas na região Sul da Itália. A carta de vinhos possui 130 rótulos, sendo em sua maioria italianos, incluindo vinhos exclusivos de importação própria, europeus e do Novo Mundo."
"Quintana Bar","Rua Olavo Bilac, 57, 04671-050 Vila Sofia, São Paulo - SP, (11) 2129-6570www.quintana.bar","Os sabores da história do Sul, onde índios, espanhóis, portugueses, africanos, alemães, italianos, poloneses, açorianos e ucranianos formaram os estados do Paraná, Santa Catarina e Rio Grande do Sul. Uma experiência agradável e emotiva para ser compartilhada à mesa. Nosso cardápio é fruto de pesquisa e respeito à tradição e origem destes imigrantes. Notas de Mário Quintana por todo o ambiente. Então, pedimos licença para apresentar a cozinha do Sul do Brasil!"
"Tappo Trattoria","R. da Consolação, 2967, 01416-001 Cerqueira César, São Paulo - SP, (11) 3063-4864www.tappo.com.br","A casa do chef Benny Novak e o restaurateur Renato Ades, hoje comandada pelo Chef Italiano Antonio Maiolica, acaba de completar 10 anos. Localizada no coração dos Jardins e com salão aconchegante, acomoda a clientela habitué que vêm em busca dos clássicos italianos: o premiado spaghetti alla carbonara, linguine all'aragosta, spaghetti cacio e pepe, lasanha da casa e vitello tonnato entre muitos outros."
"Tartuferia Giapponese","Alameda Lorena, 1892, 01424-002 Jardim Paulista, São Paulo - SP, (11) 3564-2015www.facebook.com/tartuferiagiapponese","A Tartuferia Giapponese une a clássica cozinha japonesa com a italiana, trazendo como protagonista a maior iguaria do universo gastronômico: as trufas. O menu conta com sushis e pratos quentes e nasceu sob a proposta de defender o melhor jeito brasileiro de ser japonês, com pratos contemporâneos, que mantém a tradição de duas culinárias clássicas muito apreciadas no país."
"Tartuferia San Paolo","JARDINS: Rua Oscar Freire, 155 - Telefone: (11) 3854-0085 / Alameda Lorena, 1906 - Telefone: (11) 3831.8072www.tartuferiasanpaolo.com.br","A Tartuferia San Paolo nasceu de uma curiosidade gastronômica que, com o tempo, transformou-se num verdadeiro caso de amor por trufas italianas. A síntese é um projeto único no mundo, que concilia a gastronomia milenar da Itália, mais especificamente das trufas, com o sabor e criatividade da culinária brasileira."
"Timo Cucina","R. Pamplona, 1704 - Jardim Pamplona Shopping Rooftop - 4 andar, 01405-002 Jardim Paulista, São Paulo - SP, (11) 4115-9098www.timorestaurante.com.br","Inaugurado em novembro de 2017 no rooftop do Jardim Pamplona Shopping, o Timo Cucina é mais um empreendimento do Grupo Hervilha, liderado pelo restaurateur Juscelino Pereira, Walter Rossi, Marcelo Martino e Renata Russo. A casa tem como especialidade pratos típicos de trattorias italianas, porém com toques modernos. O cardápio foi elaborado pelo chef Marcelo Martino e a decoração é inspirada em trattorias modernas de Nova York. A casa possui música ambiente e a carta de vinhos conta com aproximadamente 80 rótulos."
"Veríssimo Bar","R. Flórida, 1488 - Brooklin Paulista, 04570-000 Brooklin Paulista, São Paulo - SP, (11) 5506-6748www.verissimo.bar","Gastronomia, Literatura e Música - o Verissimo Bar homenageia o escritor Luis Fernando Veríssimo na decoração. O menu é assinado pelo chef e proprietário Marcos Livi e são servidas delícias da comida de botequim e da culinária espanhola."
"Antonietta Cucina","R. Mato Grosso, 412, 01227-000 Consolação, São Paulo - SP, (11) 3567-2052www.antoniettasp.com.br","A Rua Mato Grosso, em Higienópolis, é o berço do Antonietta Cucina há quase dez anos, desde que abriu as portas. Sob comando da dupla Milton Freitas e Alessandro Tagliari, o restaurante com origens ítalas, agora tem um novo chef na cozinha, Antonio Maiolica, que traz para o menu referências da região de Campanha, sua terra natal, e um pastifício, de onde saem diariamente pães e massas que podem ser levadas para preparar em casa. Ao lado, um bar com balcão para sentar também estreia, apresentando drinques clássicos italianos."
"Bar Botica","Rua André Ampére, 215, 04562-080 Brooklin Novo, São Paulo SP, (11) 5507-4125www.botica.bar","O Bar Botica ao longo de dez anos, conquistou os clientes com ótima gastronomia em um cardápio versátil, que une petiscos, pratos clássicos, cozinha de botequim e buffet de feijoada. Alguns exemplos dessa cozinha inventiva são: o Cone de Baião no Varal, Costelinha Suína no Balde, Bife à role empanado, entre outros. A jabuticabeira no meio do salão é um dos pontos fortes da casa. "
"Bar Brahma","Av. São João, 677, 01036-000 Centro, São Paulo - SP, (11) 2039-1250www.barbrahmacentro.com","'Alguma coisa acontece no meu coração, que só quando cruzo a Ipiranga e a Avenida São João'… Na esquina mais emblemática de SP, o Bar Brahma, há mais de 128 anos na cidade, já foi reduto de intelectuais, políticos e palco de grandes personagens da música brasileira, a começar a lista com o querido Cauby Peixoto. Considerado por muitos o melhor chopp de SP, o ambiente retrô traz pratos clássicos como o Picadinho Velho Centro, o Chateaubriand au Poivre ou o Parmegiana Casa Di Sampa. Não deixe de conhecer também o Bar Brahma Aeroclube, localizado dentro de um hangar no Aeroclube de SP, no Campo de Marte, lugar de música ao vivo e de reflexões sobre aviação, com direito a um simulador de vôo."
"Bar Léo","AURORA: R. Aurora, 100 - Tel.: (11) 3221-0247 / VILA MADALENA: Rua Aspicuelta, 578 - Tel: (11) 3819-0656www.barleo.com.br"," "
"Così","R. Barão de Tatuí, 302 , 01226-030 Santa Cecilia, São Paulo - SP, (11) 3826-5088www.restaurantecosi.com.br","Cozinha fresca, mas sem frescuras. Simples ""assim"", como sugere o nome em italiano, Così."
"Extásia","R. Diogo Jacome, 361, 04512-001 Vila Nova Conceição, São Paulo - SP, (11) 3842-0737www.extasia.com.br","O restaurante EXTÁSIA, uma união das palavras Êxtase e Ásia, combina gastronomia contemporânea com referências asiáticas. O premiado Chef Flávio Miyamura apresenta as duas cozinhas através de pratos criativos, sofisticados e inusitados. Opções no estilo Raw Bar (ingredientes frescos, crus e preparados na hora) e também pratos distintos como o arroz de pato, são algumas sugestões. Em parceria com a importadora Grand Cru, no salão do andar térreo, é possível harmonizar os pratos com os melhores vinhos do Velho e Novo Mundo."
"Farabbud","MOEMA: Alameda dos Anapurus, 1253 - Tel.:(11) 5054-1648 / VN CONCEIÇÃO: R. Diogo Jacome, 360 - Tel.: (11) 3044-4358, 04087-005 Moema, São Paulo - SPwww.farabbud.com.br"," "
"Feed","R. Dr. Mario Ferraz, 547, 01453-011 Jardim Paulistano, São Paulo - SP, (11) 5627-4700www.feed.com.br","Feed é o sonho de uma família de fazendeiros de produzir uma das melhores carnes do Brasil a um preço acessível. Nas terras da Fazenda Santa Fé em Goiás e por todo o Brasil, selecionamos os melhores animais do mundo criados com as técnicas mais avançadas do mercado qualidade da ração aos processos de confinamento, nada escapa ao olhar criterioso do fazendeiro. Todo esse esforço é para trazer para você direto do produtor a melhor carne da sua vida, todos os dias. Além de levar para casa referência em qualidade, você também pode almoçar no nosso restaurante e descobrir sabores deliciosos."
"Felix Bistrot","R. José Félix de Oliveira, 555 - Granja Viana, 06708-415 Cotia - SP, Telefone: (11) 4612-2339www.felixbistrot.com.br","A apenas 20 min. da Av. Brig. Faria Lima, na Granja Viana, está localizado um autêntico relais de champagne. É o Felix Bistrot, com mais de 20 anos de história, cuja cozinha – comandada pelo Restaurateur Vinícius Rioli – reúne todo o requinte da alta gastronomia francesa aliada a ingredientes tipicamente brasileiros."
"Ícone Gastrorock","Rua Fidalga, 79, 05432-070 Pinheiros, São Paulo - SP, (11) 2667-6217www.iconegastrorock.com","Localizado no bairro da Vila Madalena, o Ícone GastroRock é uma casa com uma culinária autoral e multicultural, inspirado em Izakayas, sushi bares, bares de tapas e restaurantes com balcão, aproximando o cliente da rotina do lugar, sempre preocupada com a qualidade dos insumos e também de seus fornecedores."
"Isla Café + Cia. Orgânica","R. Simão Álvares, 97, 05417-030 Pinheiros, São Paulo - SP, (11) 99976-0378www.laisla.me","Nasce um novo projeto fruto da necessidade de entender que alimentação é também respeito, consciência e futuro. Se não mudarmos a maneira como nos relacionamos com a comida agora, corremos o risco de perder o sabor e os nutrientes de amanhã. No La Isla acreditamos que a qualidade é indispensável, não a quantidade. Que os benefícios a longo prazo valem muito mais do que gratificações instantâneas. Para que isso aconteça precisamos respeitar todos os seres vivos e o tempo que leva para tê-los em nosso prato. O nosso bem-estar não é prioridade, mas sim de todos que habitam esse planeta. A comida que chega em sua mesa hoje é muito mais do que a porção que você leva a boca."
"Jacarandá","R. Alves Guimarães, 153, 05410-000 Pinheiros, São Paulo - SP, (11) 3083 3003 / 3083 3014www.jacarandabr.com.br","É fácil passar despercebido pela fachada, mas ao entrar, o impacto do refinado ambiente meia luz com um pé de Jacarandá decorando o meio do salão faz os visitantes se sentirem à vontade para ficar e apreciar sua gastronomia. Instalado em um belo jardim em Pinheiros desde 2012, o restaurante tem alma sul-americana e apresenta uma cozinha com foco no ingrediente e respeito à natureza orgânica do produto assinada pelo Chef Danilo Gozetto."
"*Mamuang Thai House","R. Dr. Melo Alves, 205, 01417-010 Jardins, São Paulo - SP, (11) 3086-4774www.instagram.com/barcandeeiro/"," "
"Manish","Av. Horácio Lafer, 491, 04538-082 Itaim Bibi, São Paulo - SP, (11) 3071-3663www.manishrestaurante.com.br","Cozinha árabe reinventada que prima pelos ingredientes frescos, orgânicos e sem conservantes."
"Mr. Baker","R. Augusta, 2440, 01413-100 Jardim Paulista, São Paulo - SP, (11) 4210-1888www.mrbaker.com.br","Mr. Baker é uma padaria que prioriza produtos orgânicos e oferece uma variedade incrível de comidas e aperitivos deliciosos."
"*Na Cozinha","","*Atenção: lamentamos informar que o Na Cozinha encerrou as atividades."
"Osteria del Pettirosso","Alameda Lorena, 2155, 01424-006 Jardim Paulistano, São Paulo - SP, (11) 3062-5338www.pettirosso.com.br"," "
"Paris 6 Burlesque Bistrô","R. Augusta 2809, 01413-100 Cerqueira César, São Paulo - SP, (11) 99602-0649www.paris6burlesque.com.br","Conheça a casa mais charmosa de São Paulo. O menu completo do Paris6 que você já conhece, com música ao vivo todos os dias. Acesse a programação que une cultura, música e gastronomia no Bistrô do Paris 6 Burlesque."
"Praça São Lourenço","R. Casa do Ator, 608,  Itaim Bibi, São Paulo - SP, (11) 3053-9300www.pracasaolourenco.com.br","O Praça São Lourenço é um local onde a arte de comer bem encontra harmoniosamente com a arte de viver bem. Com 1.500 metros quadrados de natureza, combina excelente comida com um serviço impecável, respeita o meio ambiente natural, respeita as crianças e organiza eventos."
"Saj","PAMPLONA: Rua Pamplona, 1704 - 4º andar, Tel.: (11) 3884-6020 / JARDINS: R. Joaquim Antunes, 260 - Tel.: (11) 2574-3665 / MORUMBI: Morumbi Shopping – Piso Lazer, Av. Roque Petroni Júnior, 1089 - Tel.: (11) 5189-6700 / VILA MADALENA: R. Girassol, 523 - Tel.: (11) 3032-5939 / VILA LEOPOLDINA  R. Carlos Weber, 1512 - Tel.: (11) 3085-1647www.sajrestaurante.com.br"," "
"Santinho","Instituto Tomie Ohtake: Rua Coropé, 88 - Tel.: (11) 3034-4673 / Museu da Casa Brasileira: Av. Brg. Faria Lima, 2705 - Tel.: (11) 3032-2277www.restaurantesantinho.com.br"," "
"Serafina","JARDINS: Alameda Lorena, 1705 - Tel.: (11) 3081-3702 / ITAIM: R. Pedroso Alvarenga, 1051 - Tel.: (11) 3079-1391 / SHOPPING JK: Av. Pres. Juscelino Kubitschek, 2041 - Tel.: (11) 3849-0636www.serafinarestaurante.com.br"," "
"Taka Daru Izakaya","R. Costa Carvalho, 234, 03178-200 Pinheiros, São Paulo - SP, (11) 3034-0937www.takadaru.com","Inaugurado em 2016, o Taka Daru está em Pinheiros, um dos bairros mais boêmios de São Paulo. No ambiente típico e original, com decoração carregada em madeira e que remete de imediato ao Japão, destaca-se uma frondosa quaresmeira. Da cozinha saem pratos de izakaya com pegada contemporânea, assinados por Uilian Goya, chef que comanda a casa desde 2018, após a aquisição do restaurante pelo Grupo Antonietta, liderado pelos restaurateurs Milton Freitas e Alessandro Tagliari."
"Tubaína Bar","Rua Haddock Lobo, 74 - ,  Cerqueira César, São Paulo SP, (11) 3129-4930www.tubainabar.com.br","Nenhum outro nome seria melhor para este bar, ponto de encontro de todas as idades e tribos. Localizado bem no coração do Baixo Augusta, o Tubaína é humor, tradição e ao mesmo tempo modernidade. Tubaína é a saudade da infância na casa dos avôs no interior. Tubaína é simplicidade, e é um luxo!   "
"A Pizza da Mooca","Rua da Mooca, 1747 , 03118-030 Mooca, São Paulo - SP, (11) 3571-1221www.apizzadamooca.com.br","Há 8 anos no bairro, a A Pizza da Mooca foi uma das primeiras pizzarias de São Paulo a servir pizzas feitas com farinha italiana e de tamanho individual, como é feita em Napoli. O espaço é super charmoso. Sob o comando do chef Fellipe Zanuto, as pizzas são feitas com baixa fermentação e são utilizados ingredientes importados e de produtores artesanais locais."
"Bullguer","VILA NOVA CONCEIÇÃO: Rua Diogo Jácome, 606 - Tel.: (11) 3044-2757 / VILA MADALENA: Rua Fradique Coutinho, 1136 - Tel.: (11) 3360-4703 / PERDIZES: Rua Traipú, 156 - Tel.: (11) 3865-4648 / ELDORADO: Av. Rebouças, 3970, 2º subsolo, Tel.: (11) 4380-7378 / SANTANA: R. Ana Benvinda de Andrade, 192 - Tel: (11) 3895-5120 / JARDINS: Rua Peixoto Gomide, 1088 - Tel.: (11) 2507-3777 / JARDIM SUL: Av. Giovanni Gronchi, 5819 - 2º andar - Tel.:(11) 2737-0073 / TAMBORÉ: Av. Piracema, 669 - Tel.:(11) 4191-1794 / JUNDIAI: Av. 9 de Julho, 3333, Piso Nove de Julho - Tel.: (11) 4526-1939www.bullguer.com"," "
"Dona Firmina Pizzaria","Alameda dos Anapurus, 1491, 04087-004 Moema - São Paulo - SP, (11) 5093-0302 / (11) 5096-1298 / (11) 5049-2346www.donafirminapizzaria.com.br","Inspirada nas raízes portuguesas e no berço da pizza - a Itália - a Dona Firmina traz em seu cardápio criações inovadoras desenvolvidas a partir de receitas clássicas de famosas regiões portuguesas e italianas, além de opções tradicionais sempre muito procuradas pelos comensais. A massa da Dona Firmina tem um preparo especial com a farinha italiana Caputo e um processo de fermentação lenta, de no mínimo dois dias. Este cuidado na hora de fazer a base da pizza confere uma textura macia, leve e de fácil digestão. Uma camada de molho de tomate pelado italiano acompanha as coberturas preparadas com ingredientes de primeira qualidade presentes em todas as sugestões da casa."
"Frank & Charles","Rua Tinhorão, 130, 01241-030 Higienópolis, São Paulo - SP, (11) 3624 8763www.frankandcharles.com.br","Localizado em uma charmosa rua, em Higienópolis, o Frank & Charles foi criado em 2014 pelo chef Marcelo Campos, recém chegado de uma temporada em Londres. Com diversos prêmios, entre eles a segunda melhor hamburgueria de SP pela VejaSP Comer e Beber 2018/2019; o melhor hambúrguer do Brasil pelo Guia do Hambúrguer 2017 e entre os melhores pratos de SP pelo Paladar, Estadão."
"Izakaya Toki","R. Artur de Azevedo, 986, 05404-002 Pinheiros, São Paulo - SP, (11) 3061-2349contato@izakayatoki.com.br","Izakaya é o boteco dos japoneses, onde se come muito petisco, pede uma boa bebida e se joga conversa fora."
"Kinu ","Av. das Nações Unidas, 13301, 04578-000 Brooklin Paulista, São Paulo - SP, (11) 2838-3208www.pacoteshyatt.com.br/restaurantes/8/kinu/","O Kinu revisita a tradicional culinária japonesa, unindo, em seus pratos, o passado e o presente. Trazendo elementos diferenciados e inusitados, o cardápio resgata memórias e raízes da culinária japonesa, com toques de modernidade e ingredientes brasileiros. Sushi bar, sobremesas exclusivas, sala privativa e uma completa carta de saquês nacionais e internacionais completam a experiência. "
"Kosushi Cidade Jardim","Shopping Cidade Jardim - Av. Magalhães de Castro, 12000, 04551-065 Cidade Jardim, São Paulo - SP, (11) 3552-7272www.kosushi.com.br","Assinado pelo George Yuji Koshoji, o cardápio mescla a tradicional culinária japonesa com a contemporânea; autêntico sem perder a originalidade da gastronomia japonesa."
"Living Lounge Bar & Sushi","Alameda Santos, 2233, 01419-002 Jardins, São Paulo - SP, (11) 3069-2233www.marriott.com/hotels/hotel-information/restaurant/saobr-renaissance-sao-paulo-hotel/","Com design moderno e casual, a decoração sofisticada e boa música fazem do Living Lounge Bar & Sushi o local ideal tanto para um happy hour com drinques e petiscos locais quanto para quem simplesmente busca um bom lugar para conversar e saborear a gastronomia oriental com pratos exclusivos."
"Meats","R. dos Pinheiros, 320, 05422-000 Pinheiros, São Paulo - SP, (11) 2679-6323www.restaurantemeats.com.br","O Meats já se tornou um dos novos clássicos quando o assunto é Hambúrguer. Permita-se descobrir novos sabores com as ousadas criações de Paulo Yoller, que sempre está inovando no cardápio da casa."
"1900 Pizzeria ","MOEMA: Alameda dos Nhambiquaras, 573 – Tel.: (11) 5904-1342 / VILA MARIANA: R. Estado de Israel, 240 – Tel.: (11) 5575-1900 / JARDINS: R. Barão de Capanema, 348 – Tel.: (11) 5575-1900 / CHACARA FLORA: R. Sócrates, 598 - Vila Sofia - Tel.: (11) 5904-1342 / PERDIZES: Rua Cotoxó, 944 - Tel.: (11) 5904-1345 / MORUMBI: R. Dr. Fonseca Brasil, 282 - Tel.: (11) 5904-1346 / TATUAPE: Rua Itapura, 787 - Tel.: (11) 5904-1347www.1900.com.br"," "
"Suri ","R. Mateus Grou, 488 , 05415-040 Pinheiros, São Paulo - SP, (11) 3034-1763www.suri.com.br","O Suri é uma cevicheria de amigos feita para outros amigos que tem como essência o frescor e individualidade dos ingredientes. Venha curtir conosco uma experiência especial, viajando pelos sabores da América Latina e conhecendo um pouco mais da cultura do nosso continente."
"Armazém Jacarandá","R. Alves Guimarães, 153 , 03178-200 Pinheiros, São Paulo - SP, (11) 3083-3003www.jacarandabr.com.br","Localizado na entrada do restaurante Jacarandá, estão à venda itens de mercearia, queijos e embutidos de pequenos produtores das diferentes regiões brasileiras, além de pães de fermentação natural, sorvetes caseiros e uma feira de orgânicos vindos da Cooperapas, em Parelheiros. Entre os produtos, estão queijo da Serra da Canastra, goiabada de São Gonçalo de Minas, mel de cooperativa do Rio Grande do Sul, o premiado doce de leite de Viçosa, pé de moleque da Colônia, vindos de Santo Antônio da Patrulha, doces de Pelotas e de Canela entre outros mais."
"Armazem Morumbi Restaurante","Av. das Nações Unidas, 12901 , 04578-000 Brooklin Paulista, São Paulo - SP, (11) 2845-0370www.armazemmorumbi.com.br","Produtos orgânicos e locais, pratos elaborados com simplicidade e opções saudáveis em um ambiente aconchegante - essa é a proposta do restaurante do Hilton São Paulo Morumbi, o Armazem Morumbi. Destacando-se pelo buffet com alimentos frescos em estações gourmet para atender a todos os gostos o brunch do Armazem Morumbi é a opção ideal para sua família."
"C-Cultura Caseira ","Av. das Nações Unidas, 13301, 04795-100 Itaim Bibi, São Paulo - SP,  (11) 2838-3203www.saopaulo.grand.hyatt.com/pt/hotel/dining/c---cultura-caseira.html","O restaurante C–Cultura Caseira traz uma mistura de sabores que proporciona uma comida prazerosa, com ingredientes sazonais, entrelaçados à rica cultura brasileira. O restaurante apresenta uma cozinha comfort food com influências brasileiras, portuguesas e italianas. Localizado no lobby do Grand Hyatt São Paulo, o restaurante C conta com show kitchen e bar integrado que dão vida ao espaço."
